make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km,log_motor_power,log_avg_speed
Mercedes,EQA,250+,66.1,140,1960,92,528,73.6,28.1,0,501.6,4.948759890378168,4.312140507209715
Hyundai,Ioniq 5,Long Range RWD,68.9,160,1980,93,631,88.3,28.4,2,210.2,5.081404364984463,4.492001487882454
MG,Cloud EV,Long Range,45.3,135,1700,91,460,24.9,21.3,1,419.2,4.912654885736052,3.254242968705492
Mercedes,EQA,250+,59.3,140,1960,92,528,28.2,39.8,0,501.6,4.948759890378168,3.374168709274236
Hyundai,Ioniq 5,Long Range RWD,71.9,160,1980,93,631,98.6,28.7,0,464.0,5.081404364984463,4.601162164590552
MG,ZS EV,Excite,39.2,130,1590,91,400,30.6,39.5,2,87.9,4.875197323201151,3.4531571205928664
MG,ZS EV,Excite,39.0,130,1590,91,400,59.2,43.6,1,310.0,4.875197323201151,4.097672352314776
Citroen,eC3,Feel,28.3,57,1200,89,320,18.5,26.8,1,85.3,4.060443010546419,2.970414465569701
Hyundai,Ioniq 5,Long Range AWD,66.1,225,2100,93,631,12.2,34.3,2,174.4,5.420534999272286,2.580216829592325
BMW,i5,eDrive40,74.9,250,2215,94,582,85.5,29.4,0,366.5,5.5254529391317835,4.460144413937834
Tata,Harrier EV,Long Range,55.3,165,1950,92,500,23.8,38.2,2,85.6,5.111987788356544,3.2108436531709366
BYD,Atto 3,Extended Range,54.0,150,1750,92,521,16.2,41.4,2,150.0,5.017279836814924,2.8449093838194073
Audi,e-tron,55 quattro,74.3,300,2595,92,484,23.6,28.7,2,53.1,5.707110264748875,3.202746442938317
Tata,Nexon EV,Long Range,36.4,105,1610,91,465,27.6,41.0,2,136.8,4.663439094112067,3.353406717825807
Rolls-Royce,Spectre,Standard,91.6,430,2975,94,530,21.5,15.3,1,94.4,6.066108090103747,3.1135153092103742
Rolls-Royce,Spectre,Standard,94.0,430,2975,94,530,16.6,11.7,2,59.5,6.066108090103747,2.8678989020441064
BYD,eMAX 7,Premium,70.1,150,2135,91,530,19.7,20.4,1,131.7,5.017279836814924,3.0301337002713233
Mahindra,XUV400,EL Pro,36.8,110,1580,90,456,27.6,40.7,2,108.3,4.709530201312334,3.353406717825807
Mahindra,BE 6,Long Range,59.2,175,1850,93,556,22.1,27.2,2,55.6,5.170483995038151,3.139832617527748
Kia,EV9,Long Range AWD,92.0,283,2630,93,561,56.9,28.9,0,442.1,5.648974238161206,4.05871738457895
Mercedes,EQS,580 4MATIC,92.3,385,2710,95,857,23.3,15.3,2,314.3,5.955837369464831,3.190476350346503
Kia,EV9,Long Range AWD,98.0,283,2630,93,561,16.6,20.5,2,245.4,5.648974238161206,2.8678989020441064
MG,ZS EV,Exclusive,45.3,130,1620,91,461,72.2,42.7,0,278.3,4.875197323201151,4.293195420967266
Kia,EV6,Long Range RWD,68.6,168,1980,93,708,31.7,31.0,2,506.6,5.1298987149230735,3.4873750779032076
MG,ZS EV,Exclusive,49.8,130,1620,91,461,29.0,31.3,0,215.5,4.875197323201151,3.4011973816621555
Hyundai,Creta EV,Medium Range,39.0,110,1620,92,390,30.0,12.7,0,80.5,4.709530201312334,3.4339872044851463
Tata,Nexon EV,Medium Range,28.5,105,1560,91,325,22.6,39.8,2,55.3,4.663439094112067,3.1612467120315646
Tata,Punch EV,Long Range,31.9,90,1355,91,421,39.1,23.7,2,95.4,4.51085950651685,3.6913763343125234
BYD,Atto 3,Extended Range,56.0,150,1750,92,521,15.5,27.8,2,394.0,5.017279836814924,2.803360380906535
Tata,Punch EV,Long Range,30.5,90,1355,91,421,27.2,41.9,2,77.2,4.51085950651685,3.339321977944068
Porsche,Taycan,4S,67.8,360,2295,94,512,33.1,19.0,2,139.1,5.8888779583328805,3.529297384289471
Porsche,Taycan,Turbo S,72.1,560,2380,94,507,34.1,30.6,2,51.9,6.329720905522696,3.55820113047182
Kia,EV6,Long Range RWD,72.5,168,1980,93,708,17.8,12.5,0,210.8,5.1298987149230735,2.9338568698359033
Mahindra,XUV400,EL Pro,36.2,110,1580,90,456,37.0,37.8,1,212.8,4.709530201312334,3.6375861597263857
Tata,Curvv EV,Medium Range,40.3,120,1720,92,502,116.6,31.2,1,175.3,4.795790545596741,4.767289035464526
Kia,EV6,Long Range AWD,69.5,239,2140,93,708,29.0,22.7,0,122.7,5.480638923341991,3.4011973816621555
Mahindra,XUV400,EC Pro,32.1,110,1560,90,375,20.2,21.8,2,92.2,4.709530201312334,3.054001181677967
MG,Cloud EV,Long Range,45.3,135,1700,91,460,22.4,28.7,1,437.0,4.912654885736052,3.152736022363656
BYD,e6,GL,69.1,70,2380,88,415,28.7,45.8,2,163.9,4.2626798770413155,3.391147045808654
Audi,e-tron,55 quattro,81.3,300,2595,92,484,87.7,28.5,0,271.7,5.707110264748875,4.485259889315534
Volvo,XC40 Recharge,Twin Motor,74.3,300,2170,92,438,32.9,23.8,2,63.0,5.707110264748875,3.5234150143864045
Tata,Tigor EV,Ziptron,23.8,55,1235,90,306,111.5,26.0,0,107.6,4.02535169073515,4.722953221644475
Hyundai,Creta EV,Medium Range,36.5,110,1620,92,390,23.3,35.5,2,186.8,4.709530201312334,3.190476350346503
Hyundai,Creta EV,Long Range,50.8,135,1690,92,473,33.2,27.2,0,104.5,4.912654885736052,3.5322256440685598
MG,ZS EV,Exclusive,44.7,130,1620,91,461,99.9,31.9,1,176.1,4.875197323201151,4.6141299273595635
Maruti Suzuki,e Vitara,Medium Range,47.4,106,1620,93,400,27.1,30.9,1,271.6,4.672828834461906,3.3357695763397
BYD,Seal,Dynamic,52.9,150,1860,94,510,17.9,39.4,2,324.3,5.017279836814924,2.9391619220655967
Audi,e-tron GT,RS,81.0,440,2420,94,481,25.9,29.3,2,86.0,6.089044875446846,3.292126286607793
Tata,Curvv EV,Long Range,48.7,150,1780,92,585,56.1,17.3,1,358.1,5.017279836814924,4.044804116661965
Tata,Curvv EV,Long Range,47.1,150,1780,92,585,37.2,17.7,0,94.3,5.017279836814924,3.6428355156125294
Volvo,XC40 Recharge,Single Motor,63.6,170,2000,92,418,25.4,12.0,2,41.8,5.14166355650266,3.2733640101522705
Kia,EV6,Long Range AWD,68.8,239,2140,93,708,80.0,38.3,0,421.9,5.480638923341991,4.394449154672439
Maruti Suzuki,e Vitara,Medium Range,46.8,106,1620,93,400,46.3,21.3,0,380.0,4.672828834461906,3.856510295497887
Mahindra,XUV400,EC Pro,31.6,110,1560,90,375,24.7,20.6,2,44.8,4.709530201312334,3.246490991901174
BYD,Atto 3,Standard Range,46.9,150,1690,92,410,14.5,34.3,2,99.9,5.017279836814924,2.740840023925201
MG,Windsor EV,Long Range,35.6,100,1490,91,331,100.0,19.2,1,169.5,4.61512051684126,4.61512051684126
Rolls-Royce,Spectre,Standard,98.3,430,2975,94,530,27.1,33.0,1,503.5,6.066108090103747,3.3357695763397
BYD,eMAX 7,Premium,63.4,150,2135,91,530,16.0,32.7,1,134.1,5.017279836814924,2.833213344056216
Tata,Tiago EV,Medium Range,18.5,45,1073,90,250,22.7,24.3,1,88.8,3.828641396489095,3.1654750481410856
Citroen,eC3,Feel,25.5,57,1200,89,320,19.9,20.3,2,54.5,4.060443010546419,3.039749158970765
Maruti Suzuki,e Vitara,Long Range,59.2,144,1710,93,500,20.1,31.7,2,274.6,4.976733742420574,3.0492730404820207
Mahindra,XEV 9e,Long Range,58.3,175,1900,93,542,23.0,31.9,2,246.8,5.170483995038151,3.1780538303479458
Tata,Sierra EV,Long Range,53.7,165,1900,92,480,15.2,23.5,1,102.3,5.111987788356544,2.785011242238338
Mercedes,EQA,250+,58.1,140,1960,92,528,28.0,21.4,2,178.6,4.948759890378168,3.367295829986474
Audi,Q8 e-tron,55 quattro,89.0,300,2620,93,582,38.7,15.5,1,430.3,5.707110264748875,3.681351187693145
Mercedes,EQS SUV,580 4MATIC,99.4,400,2880,94,660,33.3,23.1,1,436.8,5.993961427306569,3.535145354171894
MG,Windsor EV,Long Range,37.5,100,1490,91,331,25.4,34.7,2,70.5,4.61512051684126,3.2733640101522705
Tata,Punch EV,Long Range,33.4,90,1355,91,421,20.1,24.8,1,143.4,4.51085950651685,3.0492730404820207
Tata,Punch EV,Long Range,32.1,90,1355,91,421,22.7,12.4,1,55.0,4.51085950651685,3.1654750481410856
MG,Cloud EV,Long Range,44.2,135,1700,91,460,21.1,37.9,0,282.3,4.912654885736052,3.0955776085237074
Jaguar,I-PACE,EV400,74.5,294,2208,92,470,18.2,39.0,1,222.7,5.68697535633982,2.9549102790337356
Kia,EV6,Long Range AWD,68.1,239,2140,93,708,24.2,23.1,1,672.6,5.480638923341991,3.2268439945173775
Mahindra,BE 6,Long Range,54.9,175,1850,93,556,23.4,25.4,2,295.9,5.170483995038151,3.1945831322991562
Tata,Tiago EV,Medium Range,18.5,45,1073,90,250,85.0,28.2,0,153.8,3.828641396489095,4.454347296253507
MG,Windsor EV,Long Range,33.4,100,1490,91,331,32.9,38.6,0,152.3,4.61512051684126,3.5234150143864045
Maruti Suzuki,e Vitara,Medium Range,46.4,106,1620,93,400,47.4,30.9,1,380.0,4.672828834461906,3.8794998137225862
BYD,Seal,Dynamic,55.5,150,1860,94,510,15.9,25.5,2,277.0,5.017279836814924,2.827313621929028
Citroen,eC3,Feel,28.2,57,1200,89,320,98.0,39.0,0,141.0,4.060443010546419,4.59511985013459
BYD,Seal,Performance,80.5,390,2150,94,580,33.7,23.9,2,58.0,5.968707559985366,3.5467396869528134
Hyundai,Ioniq 5,Long Range AWD,66.5,225,2100,93,631,31.6,39.2,2,392.7,5.420534999272286,3.484312288372662
Tata,Curvv EV,Medium Range,44.9,120,1720,92,502,58.2,10.5,1,382.4,4.795790545596741,4.0809215418899605
Mahindra,XEV 9e,Long Range,54.2,175,1900,93,542,22.7,25.9,2,331.1,5.170483995038151,3.1654750481410856
Tata,Punch EV,Long Range,32.6,90,1355,91,421,28.9,36.7,1,116.4,4.51085950651685,3.3978584803966405
Mahindra,BE 6,Long Range,54.9,175,1850,93,556,35.1,16.7,0,528.1999999999999,5.170483995038151,3.586292865338835
BYD,eMAX 7,Premium,67.7,150,2135,91,530,33.0,40.4,0,503.5,5.017279836814924,3.5263605246161616
Tata,Nexon EV,Medium Range,27.8,105,1560,91,325,32.9,32.8,2,147.0,4.663439094112067,3.5234150143864045
Porsche,Taycan,4S,77.3,360,2295,94,512,17.5,24.0,2,463.8,5.8888779583328805,2.917770732084279
Maruti Suzuki,e Vitara,Long Range,53.7,144,1710,93,500,49.2,27.7,1,405.0,4.976733742420574,3.9160150266976834
Mercedes,EQS,580 4MATIC,106.8,385,2710,95,857,30.9,33.8,2,363.7,5.955837369464831,3.462606009790799
Tata,Curvv EV,Long Range,47.6,150,1780,92,585,111.5,39.4,1,220.9,5.017279836814924,4.722953221644475
Tata,Nexon EV,Long Range,39.5,105,1610,91,465,31.7,22.5,2,336.2,4.663439094112067,3.4873750779032076
BYD,Atto 3,Extended Range,56.7,150,1750,92,521,87.9,39.0,1,459.0,5.017279836814924,4.487512142519859
Mercedes,EQB,350 4MATIC,63.3,215,2175,92,423,23.5,20.1,0,172.1,5.375278407684165,3.1986731175506815
Tata,Nexon EV,Medium Range,29.5,105,1560,91,325,22.7,32.2,0,128.8,4.663439094112067,3.1654750481410856
Mahindra,BE 6,Long Range,53.2,175,1850,93,556,20.6,21.6,2,88.8,5.170483995038151,3.0726933146901194
Mahindra,BE 6,Long Range,58.0,175,1850,93,556,34.1,12.9,1,433.8,5.170483995038151,3.55820113047182
BYD,Seal,Performance,70.6,390,2150,94,580,33.9,35.9,0,551.0,5.968707559985366,3.5524868292083815
BYD,Seal,Performance,80.0,390,2150,94,580,82.1,22.5,0,551.0,5.968707559985366,4.420044701861403
Tata,Curvv EV,Long Range,50.9,150,1780,92,585,18.7,14.5,1,416.5,5.017279836814924,2.9806186357439426
Volvo,XC40 Recharge,Twin Motor,68.0,300,2170,92,438,21.7,29.1,0,113.2,5.707110264748875,3.122364924487357
Tata,Harrier EV,Long Range,58.4,165,1950,92,500,22.7,29.8,0,116.0,5.111987788356544,3.1654750481410856
Smart,#1 Pro+,Standard,54.6,200,1820,92,440,25.9,42.0,0,240.3,5.303304908059076,3.292126286607793
Maruti Suzuki,e Vitara,Long Range,59.2,144,1710,93,500,22.4,27.0,2,56.4,4.976733742420574,3.152736022363656
MG,ZS EV,Excite,38.5,130,1590,91,400,28.4,31.3,1,152.8,4.875197323201151,3.380994674344636
Citroen,eC3,Feel,27.4,57,1200,89,320,13.2,35.2,1,81.0,4.060443010546419,2.653241964607215
Mercedes,EQA,250+,61.9,140,1960,92,528,30.9,31.2,0,501.6,4.948759890378168,3.462606009790799
BYD,Seal,Performance,76.1,390,2150,94,580,25.1,34.2,2,85.7,5.968707559985366,3.261935314328648
BYD,Atto 3,Standard Range,43.8,150,1690,92,410,21.6,35.0,2,208.9,5.017279836814924,3.1179499062782403
Mahindra,XUV.e8,Long Range,55.1,175,2050,92,450,34.3,29.0,2,346.0,5.170483995038151,3.563882963939251
BYD,Atto 3,Standard Range,43.8,150,1690,92,410,117.2,43.9,0,125.2,5.017279836814924,4.772378104971998
Rolls-Royce,Spectre,Standard,99.2,430,2975,94,530,43.7,44.6,2,235.2,6.066108090103747,3.7999735016195233
BMW,i7,xDrive60,88.6,400,2720,94,625,38.7,24.3,0,240.3,5.993961427306569,3.681351187693145
BYD,Seal,Performance,80.8,390,2150,94,580,25.3,22.5,0,112.6,5.968707559985366,3.269568939183719
BYD,Atto 3,Extended Range,59.4,150,1750,92,521,17.7,37.0,2,179.4,5.017279836814924,2.928523523860541
Tata,Tigor EV,Ziptron,22.7,55,1235,90,306,28.8,12.3,2,30.6,4.02535169073515,3.3945083935113587
Tata,Sierra EV,Long Range,57.1,165,1900,92,480,29.8,16.6,1,102.1,5.111987788356544,3.427514689979529
Rolls-Royce,Spectre,Standard,92.2,430,2975,94,530,33.6,37.9,1,423.8,6.066108090103747,3.543853682063679
Smart,#1 Pro+,Standard,56.8,200,1820,92,440,35.8,16.4,0,169.2,5.303304908059076,3.6054978451748854
Rolls-Royce,Spectre,Standard,101.4,430,2975,94,530,86.3,26.4,2,335.4,6.066108090103747,4.469350462845556
Tata,Tiago EV,Medium Range,16.7,45,1073,90,250,18.0,18.4,1,237.5,3.828641396489095,2.9444389791664403
Tata,Tiago EV,Long Range,22.1,55,1110,90,315,94.7,15.6,1,96.3,4.02535169073515,4.5612182984589085
BMW,iX,xDrive50,98.9,385,2590,94,635,20.0,34.0,2,221.8,5.955837369464831,3.044522437723423
Mercedes,EQA,250+,59.9,140,1960,92,528,109.7,28.9,0,501.6,4.948759890378168,4.706823839714591
BYD,e6,GL,61.4,70,2380,88,415,31.9,28.7,2,107.7,4.2626798770413155,3.493472657771326
BMW,i7,xDrive60,93.5,400,2720,94,625,85.3,16.7,2,222.8,5.993961427306569,4.457829598089382
Tata,Nexon EV,Long Range,39.2,105,1610,91,465,87.5,22.1,0,379.9,4.663439094112067,4.483002552013883
Kia,EV9,Long Range AWD,87.5,283,2630,93,561,23.2,17.7,1,379.8,5.648974238161206,3.186352633162641
Toyota,Urban Cruiser EV,Long Range,55.9,144,1740,93,490,38.4,25.4,0,97.7,4.976733742420574,3.673765816303888
BYD,eMAX 7,Premium,68.4,150,2135,91,530,83.8,32.8,0,335.2,5.017279836814924,4.440295542797857
Mercedes,EQA,250+,60.9,140,1960,92,528,19.9,23.1,2,120.0,4.948759890378168,3.039749158970765
Volvo,XC40 Recharge,Twin Motor,72.5,300,2170,92,438,16.8,16.6,2,339.7,5.707110264748875,2.8791984572980396
Maruti Suzuki,e Vitara,Long Range,59.5,144,1710,93,500,26.0,27.8,2,221.0,4.976733742420574,3.295836866004329
Citroen,eC3,Feel,29.0,57,1200,89,320,20.4,27.4,2,190.6,4.060443010546419,3.0633909220278057
Mahindra,XUV400,EL Pro,35.0,110,1580,90,456,82.6,41.5,0,223.3,4.709530201312334,4.426043520090656
Hyundai,Creta EV,Long Range,48.3,135,1690,92,473,22.7,12.8,1,57.7,4.912654885736052,3.1654750481410856
Mahindra,XUV400,EL Pro,35.5,110,1580,90,456,19.2,12.8,0,93.8,4.709530201312334,3.005682604407159
Mahindra,XUV400,EL Pro,38.1,110,1580,90,456,22.8,7.0,1,59.2,4.709530201312334,3.169685580677429
BMW,iX1,xDrive30,58.1,230,2080,93,440,16.1,29.4,2,418.0,5.442417710521793,2.8390784635086144
Tata,Harrier EV,Long Range,58.4,165,1950,92,500,32.0,24.2,1,91.1,5.111987788356544,3.4965075614664802
Tata,Tiago EV,Medium Range,17.5,45,1073,90,250,21.5,22.4,1,207.3,3.828641396489095,3.1135153092103742
Tata,Curvv EV,Long Range,49.1,150,1780,92,585,31.6,26.4,0,108.2,5.017279836814924,3.484312288372662
BMW,i4,eDrive40,70.8,250,2125,94,590,110.4,39.6,1,201.5,5.5254529391317835,4.713127327493184
Tata,Tiago EV,Medium Range,18.9,45,1073,90,250,48.1,41.0,0,184.1,3.828641396489095,3.893859034800475
Tata,Curvv EV,Long Range,51.0,150,1780,92,585,28.6,29.6,2,96.1,5.017279836814924,3.3877743613300146
Mahindra,XUV.e8,Long Range,56.2,175,2050,92,450,27.4,19.7,2,351.4,5.170483995038151,3.3463891451671604
BMW,i5,eDrive40,80.0,250,2215,94,582,20.6,12.6,2,317.1,5.5254529391317835,3.0726933146901194
Hyundai,Ioniq 5,Long Range AWD,72.4,225,2100,93,631,23.0,31.1,0,159.0,5.420534999272286,3.1780538303479458
Mercedes,EQS,580 4MATIC,94.2,385,2710,95,857,75.4,18.2,0,536.8,5.955837369464831,4.335982696172475
Mahindra,XEV 9e,Long Range,51.2,175,1900,93,542,56.9,18.5,0,448.2,5.170483995038151,4.05871738457895
Volvo,XC40 Recharge,Single Motor,59.9,170,2000,92,418,23.8,8.5,1,47.8,5.14166355650266,3.2108436531709366
Kia,EV6,Long Range AWD,72.3,239,2140,93,708,21.2,15.1,2,122.4,5.480638923341991,3.100092288878234
Audi,e-tron GT,RS,81.7,440,2420,94,481,93.2,36.5,0,340.9,6.089044875446846,4.545420181582317
Tata,Curvv EV,Long Range,48.2,150,1780,92,585,19.4,36.2,1,236.8,5.017279836814924,3.0155349008501706
Maruti Suzuki,e Vitara,Medium Range,45.2,106,1620,93,400,20.9,27.8,0,380.0,4.672828834461906,3.086486636822455
Citroen,eC3,Feel,26.0,57,1200,89,320,24.4,40.4,2,63.5,4.060443010546419,3.2347491740244907
Citroen,eC3,Shine,28.0,57,1215,89,320,41.8,44.2,1,216.6,4.060443010546419,3.756538102587751
Toyota,Urban Cruiser EV,Long Range,55.3,144,1740,93,490,26.1,23.4,2,294.1,4.976733742420574,3.299533727885655
Hyundai,Ioniq 5,Long Range AWD,63.7,225,2100,93,631,24.4,13.7,1,548.8,5.420534999272286,3.2347491740244907
Mercedes,EQS,580 4MATIC,94.5,385,2710,95,857,20.1,11.3,2,85.7,5.955837369464831,3.0492730404820207
Kia,EV9,Long Range AWD,97.1,283,2630,93,561,93.8,17.6,0,389.1,5.648974238161206,4.551769409260976
Mercedes,EQS,580 4MATIC,105.5,385,2710,95,857,31.4,34.8,1,580.0,5.955837369464831,3.4781584227982836
Smart,#1 Pro+,Standard,57.5,200,1820,92,440,26.8,16.1,1,49.2,5.303304908059076,3.3250360206965914
BYD,Seal,Dynamic,53.8,150,1860,94,510,17.9,12.8,2,51.0,5.017279836814924,2.9391619220655967
MG,ZS EV,Excite,42.6,130,1590,91,400,14.8,40.9,2,100.2,4.875197323201151,2.760009940032921
Hyundai,Creta EV,Long Range,50.9,135,1690,92,473,16.2,34.1,1,449.35,4.912654885736052,2.8449093838194073
Porsche,Taycan,4S,78.5,360,2295,94,512,103.1,23.6,0,486.4,5.8888779583328805,4.645351975620923
Tata,Tiago EV,Long Range,23.3,55,1110,90,315,16.1,30.2,2,57.0,4.02535169073515,2.8390784635086144
Kia,EV6,Long Range RWD,74.4,168,1980,93,708,25.3,40.8,1,502.1,5.1298987149230735,3.269568939183719
Tata,Nexon EV,Medium Range,29.2,105,1560,91,325,26.7,34.5,2,88.2,4.663439094112067,3.3214324131932926
Mercedes,EQS,580 4MATIC,102.0,385,2710,95,857,21.5,38.1,1,518.9,5.955837369464831,3.1135153092103742
BYD,eMAX 7,Premium,69.0,150,2135,91,530,97.0,29.8,2,106.2,5.017279836814924,4.584967478670572
Mercedes,EQS SUV,580 4MATIC,100.4,400,2880,94,660,22.3,19.4,1,140.4,5.993961427306569,3.148453360571655
BYD,Atto 3,Standard Range,45.7,150,1690,92,410,38.6,10.7,2,41.0,5.017279836814924,3.6788291182604347
Toyota,Urban Cruiser EV,Long Range,60.3,144,1740,93,490,36.9,27.6,2,82.3,4.976733742420574,3.6349511120883804
Mini,Countryman E,ALL4,62.3,230,2055,93,462,29.8,12.6,0,88.6,5.442417710521793,3.427514689979529
Tata,Curvv EV,Medium Range,39.9,120,1720,92,502,25.1,22.6,1,331.7,4.795790545596741,3.261935314328648
Tata,Sierra EV,Long Range,59.8,165,1900,92,480,18.3,28.0,0,128.2,5.111987788356544,2.9601050959108397
Audi,e-tron,55 quattro,80.8,300,2595,92,484,17.6,10.8,2,156.3,5.707110264748875,2.9231615807191558
Mercedes,EQS,580 4MATIC,102.0,385,2710,95,857,80.0,31.4,2,292.9,5.955837369464831,4.394449154672439
Porsche,Taycan,Turbo S,82.2,560,2380,94,507,28.9,33.0,1,180.0,6.329720905522696,3.3978584803966405
BYD,eMAX 7,Premium,68.4,150,2135,91,530,32.6,39.4,0,386.0,5.017279836814924,3.5145260669691587
MG,ZS EV,Excite,41.0,130,1590,91,400,17.1,36.6,2,148.1,4.875197323201151,2.89591193827178
BMW,iX1,xDrive30,55.4,230,2080,93,440,25.3,35.9,1,236.4,5.442417710521793,3.269568939183719
Tata,Punch EV,Long Range,32.7,90,1355,91,421,13.2,24.1,1,399.95,4.51085950651685,2.653241964607215
Mahindra,XEV 9e,Long Range,53.2,175,1900,93,542,33.4,34.7,2,76.1,5.170483995038151,3.5380565643793527
Tata,Tiago EV,Medium Range,18.2,45,1073,90,250,16.7,22.2,1,175.5,3.828641396489095,2.8735646395797834
Porsche,Taycan,Turbo S,78.9,560,2380,94,507,26.3,6.1,1,85.6,6.329720905522696,3.306886702190914
Mahindra,XEV 9e,Long Range,52.8,175,1900,93,542,22.1,18.1,1,62.1,5.170483995038151,3.139832617527748
Kia,EV9,Long Range AWD,93.2,283,2630,93,561,14.8,21.7,2,231.0,5.648974238161206,2.760009940032921
Citroen,eC3,Shine,25.6,57,1215,89,320,12.3,18.1,2,168.5,4.060443010546419,2.5877640352277083
Hyundai,Ioniq 5,Long Range RWD,69.1,160,1980,93,631,33.0,33.3,1,599.4499999999999,5.081404364984463,3.5263605246161616
MG,Comet EV,Standard,15.7,30,840,89,230,28.8,21.6,2,28.5,3.4339872044851463,3.3945083935113587
Mini,Countryman E,ALL4,63.0,230,2055,93,462,21.7,36.0,2,275.7,5.442417710521793,3.122364924487357
Tata,Curvv EV,Medium Range,42.4,120,1720,92,502,23.6,17.5,2,226.1,4.795790545596741,3.202746442938317
Mahindra,XUV400,EC Pro,30.9,110,1560,90,375,23.8,28.3,0,341.3,4.709530201312334,3.2108436531709366
Mahindra,XEV 9e,Long Range,58.3,175,1900,93,542,99.8,36.4,1,258.0,5.170483995038151,4.613138355637268
Porsche,Taycan,Turbo S,78.4,560,2380,94,507,38.8,28.7,0,123.4,6.329720905522696,3.6838669122903918
Tata,Tiago EV,Long Range,22.3,55,1110,90,315,20.2,17.8,2,31.5,4.02535169073515,3.054001181677967
Mahindra,XUV400,EC Pro,30.2,110,1560,90,375,25.6,27.1,2,217.9,4.709530201312334,3.280911215787653
Tata,Sierra EV,Long Range,60.0,165,1900,92,480,20.6,18.4,0,456.0,5.111987788356544,3.0726933146901194
Mahindra,BE 6,Long Range,52.3,175,1850,93,556,82.0,20.1,1,294.9,5.170483995038151,4.418840607796598
MG,Windsor EV,Long Range,33.2,100,1490,91,331,86.1,38.7,1,171.8,4.61512051684126,4.467056883858457
Mahindra,XUV400,EL Pro,34.3,110,1580,90,456,13.6,18.8,2,175.3,4.709530201312334,2.681021528714291
Mercedes,EQS SUV,580 4MATIC,99.1,400,2880,94,660,84.0,40.3,2,141.3,5.993961427306569,4.442651256490317
Tata,Tiago EV,Long Range,23.5,55,1110,90,315,37.0,22.2,1,203.0,4.02535169073515,3.6375861597263857
BYD,Seal,Dynamic,52.4,150,1860,94,510,33.6,31.5,2,259.1,5.017279836814924,3.543853682063679
BMW,i4,eDrive40,78.3,250,2125,94,590,86.1,25.2,0,469.5,5.5254529391317835,4.467056883858457
BYD,eMAX 7,Premium,68.6,150,2135,91,530,117.7,41.2,0,213.7,5.017279836814924,4.776599301615622
Jaguar,I-PACE,EV400,76.3,294,2208,92,470,93.4,38.7,0,340.8,5.68697535633982,4.547541073151455
Tata,Nexon EV,Prime LR,38.1,105,1620,91,465,27.5,46.8,2,74.7,4.663439094112067,3.349904087274605
Mercedes,EQS,580 4MATIC,103.3,385,2710,95,857,38.3,33.8,0,219.2,5.955837369464831,3.6712245188752153
Citroen,eC3,Feel,25.7,57,1200,89,320,25.7,45.2,1,87.4,4.060443010546419,3.2846635654062037
MG,Windsor EV,Long Range,37.9,100,1490,91,331,17.3,40.7,2,197.2,4.61512051684126,2.9069010598473755
Toyota,Urban Cruiser EV,Long Range,58.3,144,1740,93,490,25.7,24.5,2,98.4,4.976733742420574,3.2846635654062037
Volvo,XC40 Recharge,Single Motor,63.2,170,2000,92,418,29.0,11.8,2,41.8,5.14166355650266,3.4011973816621555
Tata,Punch EV,Smart,24.0,60,1280,90,315,18.5,41.1,2,50.1,4.110873864173311,2.970414465569701
Tata,Curvv EV,Long Range,51.5,150,1780,92,585,117.5,22.1,0,292.2,5.017279836814924,4.774912960575186
Kia,EV6,Long Range AWD,75.8,239,2140,93,708,39.6,32.3,1,182.7,5.480638923341991,3.703768066607687
BYD,e6,GL,62.5,70,2380,88,415,34.2,27.4,2,268.1,4.2626798770413155,3.5610460826040513
Tata,Nexon EV,Medium Range,26.8,105,1560,91,325,44.6,13.6,0,212.3,4.663439094112067,3.8199077165203406
Citroen,eC3,Shine,27.2,57,1215,89,320,17.2,31.9,2,136.8,4.060443010546419,2.9014215940827497
Tata,Nexon EV,Long Range,36.4,105,1610,91,465,28.9,25.0,0,441.75,4.663439094112067,3.3978584803966405
Mahindra,BE 6,Long Range,54.0,175,1850,93,556,27.4,20.7,2,55.6,5.170483995038151,3.3463891451671604
Audi,e-tron,55 quattro,76.6,300,2595,92,484,25.2,23.8,2,181.4,5.707110264748875,3.265759410767051
Porsche,Taycan,4S,78.7,360,2295,94,512,39.7,33.1,2,313.7,5.8888779583328805,3.7062280924485496
Jaguar,I-PACE,EV400,74.5,294,2208,92,470,23.0,37.0,1,248.0,5.68697535633982,3.1780538303479458
MG,ZS EV,Exclusive,45.9,130,1620,91,461,47.4,13.8,1,349.9,4.875197323201151,3.8794998137225862
Citroen,eC3,Feel,26.0,57,1200,89,320,33.0,21.9,1,185.3,4.060443010546419,3.5263605246161616
Tata,Sierra EV,Long Range,56.4,165,1900,92,480,93.5,15.8,1,257.6,5.111987788356544,4.548599834499697
Tata,Punch EV,Smart,21.5,60,1280,90,315,30.8,13.4,0,55.7,4.110873864173311,3.459466289786131
Mahindra,XUV400,EC Pro,31.2,110,1560,90,375,12.9,16.6,1,356.25,4.709530201312334,2.631888840136646
Hyundai,Ioniq 5,Long Range AWD,71.7,225,2100,93,631,20.2,37.2,2,458.8,5.420534999272286,3.054001181677967
