make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km
Porsche,Taycan,Turbo S,82.2,560,2380,94,507,28.9,33.0,1,180.0
BYD,eMAX 7,Premium,68.4,150,2135,91,530,32.6,39.4,0,386.0
MG,ZS EV,Excite,41.0,130,1590,91,400,17.1,36.6,2,148.1
BMW,iX1,xDrive30,55.4,230,2080,93,440,25.3,35.9,1,236.4
Tata,Punch EV,Long Range,32.7,90,1355,91,421,13.2,24.1,1,399.95
Mahindra,XEV 9e,Long Range,53.2,175,1900,93,542,33.4,34.7,2,76.1
Tata,Tiago EV,Medium Range,18.2,45,1073,90,250,16.7,22.2,1,175.5
Porsche,Taycan,Turbo S,78.9,560,2380,94,507,26.3,6.1,1,85.6
Mahindra,XEV 9e,Long Range,52.8,175,1900,93,542,22.1,18.1,1,62.1
Kia,EV9,Long Range AWD,93.2,283,2630,93,561,14.8,21.7,2,231.0
Citroen,eC3,Shine,25.6,57,1215,89,320,12.3,18.1,2,168.5
Hyundai,Ioniq 5,Long Range RWD,69.1,160,1980,93,631,33.0,33.3,1,599.4499999999999
MG,Comet EV,Standard,15.7,30,840,89,230,28.8,21.6,2,28.5
Mini,Countryman E,ALL4,63.0,230,2055,93,462,21.7,36.0,2,275.7
Tata,Curvv EV,Medium Range,42.4,120,1720,92,502,23.6,17.5,2,226.1
Mahindra,XUV400,EC Pro,30.9,110,1560,90,375,23.8,28.3,0,341.3
Mahindra,XEV 9e,Long Range,58.3,175,1900,93,542,99.8,36.4,1,258.0
Porsche,Taycan,Turbo S,78.4,560,2380,94,507,38.8,28.7,0,123.4
Tata,Tiago EV,Long Range,22.3,55,1110,90,315,20.2,17.8,2,31.5
Mahindra,XUV400,EC Pro,30.2,110,1560,90,375,25.6,27.1,2,217.9
Tata,Sierra EV,Long Range,60.0,165,1900,92,480,20.6,18.4,0,456.0
Mahindra,BE 6,Long Range,52.3,175,1850,93,556,82.0,20.1,1,294.9
MG,Windsor EV,Long Range,33.2,100,1490,91,331,86.1,38.7,1,171.8
Mahindra,XUV400,EL Pro,34.3,110,1580,90,456,13.6,18.8,2,175.3
Mercedes,EQS SUV,580 4MATIC,99.1,400,2880,94,660,84.0,40.3,2,141.3
Tata,Tiago EV,Long Range,23.5,55,1110,90,315,37.0,22.2,1,203.0
BYD,Seal,Dynamic,52.4,150,1860,94,510,33.6,31.5,2,259.1
BMW,i4,eDrive40,78.3,250,2125,94,590,86.1,25.2,0,469.5
BYD,eMAX 7,Premium,68.6,150,2135,91,530,117.7,41.2,0,213.7
Jaguar,I-PACE,EV400,76.3,294,2208,92,470,93.4,38.7,0,340.8
Tata,Nexon EV,Prime LR,38.1,105,1620,91,465,27.5,46.8,2,74.7
Mercedes,EQS,580 4MATIC,103.3,385,2710,95,857,38.3,33.8,0,219.2
Citroen,eC3,Feel,25.7,57,1200,89,320,25.7,45.2,1,87.4
MG,Windsor EV,Long Range,37.9,100,1490,91,331,17.3,40.7,2,197.2
Toyota,Urban Cruiser EV,Long Range,58.3,144,1740,93,490,25.7,24.5,2,98.4
Volvo,XC40 Recharge,Single Motor,63.2,170,2000,92,418,29.0,11.8,2,41.8
Tata,Punch EV,Smart,24.0,60,1280,90,315,18.5,41.1,2,50.1
Tata,Curvv EV,Long Range,51.5,150,1780,92,585,117.5,22.1,0,292.2
Kia,EV6,Long Range AWD,75.8,239,2140,93,708,39.6,32.3,1,182.7
BYD,e6,GL,62.5,70,2380,88,415,34.2,27.4,2,268.1
Tata,Nexon EV,Medium Range,26.8,105,1560,91,325,44.6,13.6,0,212.3
Citroen,eC3,Shine,27.2,57,1215,89,320,17.2,31.9,2,136.8
Tata,Nexon EV,Long Range,36.4,105,1610,91,465,28.9,25.0,0,441.75
Mahindra,BE 6,Long Range,54.0,175,1850,93,556,27.4,20.7,2,55.6
Audi,e-tron,55 quattro,76.6,300,2595,92,484,25.2,23.8,2,181.4
Porsche,Taycan,4S,78.7,360,2295,94,512,39.7,33.1,2,313.7
Jaguar,I-PACE,EV400,74.5,294,2208,92,470,23.0,37.0,1,248.0
MG,ZS EV,Exclusive,45.9,130,1620,91,461,47.4,13.8,1,349.9
Citroen,eC3,Feel,26.0,57,1200,89,320,33.0,21.9,1,185.3
Tata,Sierra EV,Long Range,56.4,165,1900,92,480,93.5,15.8,1,257.6
Tata,Punch EV,Smart,21.5,60,1280,90,315,30.8,13.4,0,55.7
Mahindra,XUV400,EC Pro,31.2,110,1560,90,375,12.9,16.6,1,356.25
Hyundai,Ioniq 5,Long Range AWD,71.7,225,2100,93,631,20.2,37.2,2,458.8
MG,Cloud EV,Long Range,50.1,135,1700,91,460,79.7,29.6,0,369.1
Mercedes,EQS,580 4MATIC,101.7,385,2710,95,857,21.1,31.1,2,364.2
MG,Cloud EV,Long Range,44.4,135,1700,91,460,20.1,18.6,0,97.7
Volvo,C40 Recharge,Single Motor,63.8,170,1990,92,476,30.5,11.4,1,265.5
BYD,Seal,Dynamic,52.9,150,1860,94,510,26.5,25.4,2,248.6
Tata,Tiago EV,Medium Range,19.1,45,1073,90,250,23.0,21.6,2,183.1
Smart,#1 Pro+,Standard,60.5,200,1820,92,440,16.6,31.1,1,360.0
Toyota,Urban Cruiser EV,Long Range,58.1,144,1740,93,490,34.4,20.6,0,97.7
Tata,Punch EV,Smart,24.5,60,1280,90,315,12.9,27.0,1,265.1
Hyundai,Creta EV,Medium Range,36.6,110,1620,92,390,98.0,43.7,0,186.2
Mahindra,XUV400,EL Pro,35.3,110,1580,90,456,40.0,27.3,2,45.6
BMW,i5,eDrive40,75.8,250,2215,94,582,79.1,36.6,0,382.6
Maruti Suzuki,e Vitara,Medium Range,43.3,106,1620,93,400,21.0,26.8,1,347.5
Tata,Harrier EV,Long Range,54.8,165,1950,92,500,12.6,34.7,1,475.0
Tata,Harrier EV,Long Range,57.7,165,1950,92,500,33.9,12.8,2,50.0
Tata,Nexon EV,Long Range,39.5,105,1610,91,465,22.7,14.9,2,62.1
Tata,Punch EV,Smart,24.8,60,1280,90,315,28.0,40.3,0,159.7
BMW,i5,eDrive40,71.0,250,2215,94,582,27.0,37.6,2,180.1
Audi,e-tron GT,RS,77.2,440,2420,94,481,75.3,39.4,0,302.7
Mercedes,EQS,580 4MATIC,93.9,385,2710,95,857,45.5,42.6,1,296.5
Smart,#1 Pro+,Standard,56.8,200,1820,92,440,73.5,42.1,0,252.9
Tata,Nexon EV,Medium Range,28.9,105,1560,91,325,33.0,30.2,2,140.7
Hyundai,Creta EV,Medium Range,35.7,110,1620,92,390,21.3,19.1,1,114.4
Mini,Countryman E,ALL4,56.8,230,2055,93,462,73.5,28.2,0,385.3
Audi,e-tron GT,RS,75.2,440,2420,94,481,31.2,24.1,1,109.5
BMW,iX1,xDrive30,55.2,230,2080,93,440,117.3,25.3,0,365.4
BYD,e6,GL,69.8,70,2380,88,415,16.9,19.5,1,394.25
Mercedes,EQB,350 4MATIC,60.3,215,2175,92,423,33.5,31.2,2,220.7
Tata,Tigor EV,Ziptron,25.8,55,1235,90,306,26.2,24.2,1,37.9
Tata,Tiago EV,Long Range,23.1,55,1110,90,315,24.1,32.3,1,229.6
Mahindra,XUV400,EC Pro,31.6,110,1560,90,375,17.7,35.6,2,193.3
Tata,Tigor EV,Ziptron,24.8,55,1235,90,306,21.4,16.9,2,30.6
Tata,Punch EV,Long Range,32.8,90,1355,91,421,90.9,15.4,0,266.4
Mercedes,EQS,580 4MATIC,99.7,385,2710,95,857,34.5,38.5,2,368.6
Toyota,Urban Cruiser EV,Long Range,53.9,144,1740,93,490,25.0,19.2,2,94.4
BMW,iX,xDrive50,90.1,385,2590,94,635,82.1,40.6,0,400.5
Tata,Tiago EV,Long Range,20.4,55,1110,90,315,102.7,35.3,0,111.6
BMW,iX,xDrive50,94.2,385,2590,94,635,22.5,15.1,0,98.2
Porsche,Taycan,Turbo S,77.9,560,2380,94,507,32.9,34.6,0,481.65
Citroen,eC3,Shine,27.2,57,1215,89,320,83.0,39.5,0,304.0
Tata,Tiago EV,Medium Range,19.0,45,1073,90,250,33.6,21.4,0,76.2
Citroen,eC3,Feel,27.4,57,1200,89,320,20.0,21.0,0,304.0
Kia,EV9,Long Range AWD,97.4,283,2630,93,561,20.8,20.1,2,85.3
Mahindra,XUV400,EC Pro,29.4,110,1560,90,375,32.7,32.5,2,142.8
Tata,Nexon EV,Medium Range,29.5,105,1560,91,325,25.2,30.9,2,105.5
Porsche,Taycan,4S,77.3,360,2295,94,512,17.9,32.2,2,486.4
Mahindra,XUV.e8,Long Range,52.3,175,2050,92,450,21.5,23.0,2,58.1
Mercedes,EQB,350 4MATIC,64.3,215,2175,92,423,19.2,19.9,1,64.6
Jaguar,I-PACE,EV400,76.6,294,2208,92,470,30.8,20.1,2,288.7
Tata,Tigor EV,Ziptron,25.2,55,1235,90,306,22.5,18.5,1,90.4
Hyundai,Creta EV,Long Range,51.1,135,1690,92,473,32.2,21.5,1,78.8
Mercedes,EQA,250+,65.9,140,1960,92,528,27.7,26.6,2,138.7
Mahindra,XUV400,EL Pro,37.0,110,1580,90,456,16.0,12.5,1,61.1
MG,Comet EV,Standard,16.7,30,840,89,230,14.7,29.9,2,133.2
Tata,Harrier EV,Long Range,54.8,165,1950,92,500,34.7,42.2,2,139.1
Maruti Suzuki,e Vitara,Long Range,59.5,144,1710,93,500,12.5,18.7,1,475.0
Audi,e-tron GT,RS,76.4,440,2420,94,481,79.7,31.0,0,290.9
Tata,Curvv EV,Medium Range,44.3,120,1720,92,502,28.9,20.0,0,115.8
MG,ZS EV,Excite,38.8,130,1590,91,400,23.0,25.8,2,84.5
Hyundai,Ioniq 5,Long Range RWD,71.7,160,1980,93,631,17.4,20.1,2,428.4
Tata,Nexon EV,Long Range,39.6,105,1610,91,465,28.1,17.5,0,140.3
Jaguar,I-PACE,EV400,82.7,294,2208,92,470,33.2,40.7,0,446.5
Tata,Sierra EV,Long Range,51.9,165,1900,92,480,23.6,17.0,2,288.1
Volvo,XC40 Recharge,Twin Motor,73.2,300,2170,92,438,24.2,34.2,2,206.1
Hyundai,Ioniq 5,Long Range RWD,68.7,160,1980,93,631,107.4,30.1,0,455.1
Volvo,C40 Recharge,Single Motor,68.8,170,1990,92,476,35.3,13.4,2,47.6
Tata,Curvv EV,Medium Range,38.2,120,1720,92,502,26.9,17.4,0,94.1
MG,Cloud EV,Long Range,48.8,135,1700,91,460,100.0,32.8,1,212.6
Citroen,eC3,Feel,26.2,57,1200,89,320,29.6,24.4,1,40.4
Mercedes,EQA,250+,64.1,140,1960,92,528,25.1,16.9,2,183.1
Mahindra,XUV400,EL Pro,34.9,110,1580,90,456,27.4,26.5,2,87.4
Tata,Punch EV,Long Range,32.9,90,1355,91,421,21.9,17.6,2,293.2
Audi,e-tron,55 quattro,79.5,300,2595,92,484,86.1,40.7,0,194.2
Tata,Tiago EV,Long Range,21.3,55,1110,90,315,20.5,15.8,2,31.5
Hyundai,Creta EV,Medium Range,37.2,110,1620,92,390,18.2,25.6,0,370.5
MG,Cloud EV,Long Range,45.1,135,1700,91,460,22.4,25.4,0,112.5
Mercedes,EQB,350 4MATIC,62.3,215,2175,92,423,20.0,20.2,2,279.4
Porsche,Taycan,4S,70.9,360,2295,94,512,25.9,24.7,1,486.4
Tata,Curvv EV,Medium Range,41.2,120,1720,92,502,27.3,28.0,2,50.2
Audi,e-tron,55 quattro,82.1,300,2595,92,484,71.7,38.8,0,317.8
Tata,Curvv EV,Long Range,51.7,150,1780,92,585,18.2,23.0,2,306.2
Mahindra,XUV400,EC Pro,32.8,110,1560,90,375,18.8,28.4,1,140.0
Mahindra,XEV 9e,Long Range,58.1,175,1900,93,542,23.7,16.9,0,514.9
Volvo,XC40 Recharge,Single Motor,60.3,170,2000,92,418,29.6,21.5,0,87.8
MG,ZS EV,Excite,39.7,130,1590,91,400,99.3,27.5,1,200.4
Tata,Punch EV,Long Range,31.9,90,1355,91,421,26.1,24.5,1,372.5
Tata,Punch EV,Smart,22.5,60,1280,90,315,24.7,27.5,1,89.5
Jaguar,I-PACE,EV400,74.0,294,2208,92,470,27.2,31.3,2,209.5
Hyundai,Creta EV,Medium Range,38.0,110,1620,92,390,32.2,40.9,2,104.3
Tata,Nexon EV,Prime LR,36.7,105,1620,91,465,36.0,41.0,0,171.1
Tata,Tiago EV,Medium Range,16.7,45,1073,90,250,18.8,22.7,2,111.8
Toyota,Urban Cruiser EV,Long Range,58.3,144,1740,93,490,26.6,11.7,2,49.0
Kia,EV6,Long Range RWD,66.3,168,1980,93,708,33.1,18.6,1,134.0
Mini,Countryman E,ALL4,57.0,230,2055,93,462,27.1,17.8,1,364.3
Volvo,C40 Recharge,Single Motor,67.1,170,1990,92,476,21.3,32.8,1,47.6
Volvo,XC40 Recharge,Twin Motor,65.1,300,2170,92,438,105.5,34.8,1,239.2
BYD,Atto 3,Extended Range,60.1,150,1750,92,521,22.4,36.1,2,125.6
BYD,Seal,Dynamic,59.9,150,1860,94,510,31.2,9.3,0,82.0
Tata,Tiago EV,Medium Range,17.1,45,1073,90,250,99.1,44.2,0,108.3
Porsche,Taycan,4S,78.5,360,2295,94,512,84.5,22.9,0,486.4
Mahindra,XEV 9e,Long Range,50.7,175,1900,93,542,15.2,34.6,1,100.9
BYD,Seal,Performance,79.8,390,2150,94,580,85.3,30.0,0,501.7
Mahindra,XEV 9e,Long Range,51.9,175,1900,93,542,36.6,5.5,1,61.1
Tata,Nexon EV,Prime LR,35.0,105,1620,91,465,23.4,20.5,2,46.5
